"V1" "V2" "V3"
"1" 1 "tBodyAcc-mean()-X" "tbodyaccmeanx"
"2" 2 "tBodyAcc-mean()-Y" "tbodyaccmeany"
"3" 3 "tBodyAcc-mean()-Z" "tbodyaccmeanz"
"4" 4 "tBodyAcc-std()-X" "tbodyaccstdx"
"5" 5 "tBodyAcc-std()-Y" "tbodyaccstdy"
"6" 6 "tBodyAcc-std()-Z" "tbodyaccstdz"
"7" 7 "tBodyAcc-mad()-X" "tbodyaccmadx"
"8" 8 "tBodyAcc-mad()-Y" "tbodyaccmady"
"9" 9 "tBodyAcc-mad()-Z" "tbodyaccmadz"
"10" 10 "tBodyAcc-max()-X" "tbodyaccmaxx"
"11" 11 "tBodyAcc-max()-Y" "tbodyaccmaxy"
"12" 12 "tBodyAcc-max()-Z" "tbodyaccmaxz"
"13" 13 "tBodyAcc-min()-X" "tbodyaccminx"
"14" 14 "tBodyAcc-min()-Y" "tbodyaccminy"
"15" 15 "tBodyAcc-min()-Z" "tbodyaccminz"
"16" 16 "tBodyAcc-sma()" "tbodyaccsma"
"17" 17 "tBodyAcc-energy()-X" "tbodyaccenergyx"
"18" 18 "tBodyAcc-energy()-Y" "tbodyaccenergyy"
"19" 19 "tBodyAcc-energy()-Z" "tbodyaccenergyz"
"20" 20 "tBodyAcc-iqr()-X" "tbodyacciqrx"
"21" 21 "tBodyAcc-iqr()-Y" "tbodyacciqry"
"22" 22 "tBodyAcc-iqr()-Z" "tbodyacciqrz"
"23" 23 "tBodyAcc-entropy()-X" "tbodyaccentropyx"
"24" 24 "tBodyAcc-entropy()-Y" "tbodyaccentropyy"
"25" 25 "tBodyAcc-entropy()-Z" "tbodyaccentropyz"
"26" 26 "tBodyAcc-arCoeff()-X,1" "tbodyaccarcoeffx1"
"27" 27 "tBodyAcc-arCoeff()-X,2" "tbodyaccarcoeffx2"
"28" 28 "tBodyAcc-arCoeff()-X,3" "tbodyaccarcoeffx3"
"29" 29 "tBodyAcc-arCoeff()-X,4" "tbodyaccarcoeffx4"
"30" 30 "tBodyAcc-arCoeff()-Y,1" "tbodyaccarcoeffy1"
"31" 31 "tBodyAcc-arCoeff()-Y,2" "tbodyaccarcoeffy2"
"32" 32 "tBodyAcc-arCoeff()-Y,3" "tbodyaccarcoeffy3"
"33" 33 "tBodyAcc-arCoeff()-Y,4" "tbodyaccarcoeffy4"
"34" 34 "tBodyAcc-arCoeff()-Z,1" "tbodyaccarcoeffz1"
"35" 35 "tBodyAcc-arCoeff()-Z,2" "tbodyaccarcoeffz2"
"36" 36 "tBodyAcc-arCoeff()-Z,3" "tbodyaccarcoeffz3"
"37" 37 "tBodyAcc-arCoeff()-Z,4" "tbodyaccarcoeffz4"
"38" 38 "tBodyAcc-correlation()-X,Y" "tbodyacccorrelationxy"
"39" 39 "tBodyAcc-correlation()-X,Z" "tbodyacccorrelationxz"
"40" 40 "tBodyAcc-correlation()-Y,Z" "tbodyacccorrelationyz"
"41" 41 "tGravityAcc-mean()-X" "tgravityaccmeanx"
"42" 42 "tGravityAcc-mean()-Y" "tgravityaccmeany"
"43" 43 "tGravityAcc-mean()-Z" "tgravityaccmeanz"
"44" 44 "tGravityAcc-std()-X" "tgravityaccstdx"
"45" 45 "tGravityAcc-std()-Y" "tgravityaccstdy"
"46" 46 "tGravityAcc-std()-Z" "tgravityaccstdz"
"47" 47 "tGravityAcc-mad()-X" "tgravityaccmadx"
"48" 48 "tGravityAcc-mad()-Y" "tgravityaccmady"
"49" 49 "tGravityAcc-mad()-Z" "tgravityaccmadz"
"50" 50 "tGravityAcc-max()-X" "tgravityaccmaxx"
"51" 51 "tGravityAcc-max()-Y" "tgravityaccmaxy"
"52" 52 "tGravityAcc-max()-Z" "tgravityaccmaxz"
"53" 53 "tGravityAcc-min()-X" "tgravityaccminx"
"54" 54 "tGravityAcc-min()-Y" "tgravityaccminy"
"55" 55 "tGravityAcc-min()-Z" "tgravityaccminz"
"56" 56 "tGravityAcc-sma()" "tgravityaccsma"
"57" 57 "tGravityAcc-energy()-X" "tgravityaccenergyx"
"58" 58 "tGravityAcc-energy()-Y" "tgravityaccenergyy"
"59" 59 "tGravityAcc-energy()-Z" "tgravityaccenergyz"
"60" 60 "tGravityAcc-iqr()-X" "tgravityacciqrx"
"61" 61 "tGravityAcc-iqr()-Y" "tgravityacciqry"
"62" 62 "tGravityAcc-iqr()-Z" "tgravityacciqrz"
"63" 63 "tGravityAcc-entropy()-X" "tgravityaccentropyx"
"64" 64 "tGravityAcc-entropy()-Y" "tgravityaccentropyy"
"65" 65 "tGravityAcc-entropy()-Z" "tgravityaccentropyz"
"66" 66 "tGravityAcc-arCoeff()-X,1" "tgravityaccarcoeffx1"
"67" 67 "tGravityAcc-arCoeff()-X,2" "tgravityaccarcoeffx2"
